"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GJTT9Y86","journalArticle","2017","Liang, Jie-Liang; Li, Xiao-Jing; Shu, Hao-Yue; Wang, Pandeng; Kuang, Jia-Liang; Liu, Jun; Zhang, Miao-Miao; Shu, Wen-Sheng; Huang, Li-Nan","Fine-scale spatial patterns in microbial community composition in an acid mine drainage","FEMS MICROBIOLOGY ECOLOGY","","","10.1093/femsec/fix124","","Microbial community composition is essential for aquatic ecosystem functions and has been explored across diverse environments and various spatial scales. However, documented patterns are often based on samples from spatially/geographically separated locations or sites. Here, we define sampling volume as spatial scale and examine (by Illumina 16S rRNA sequencing) microbial community composition over a scale of 1 mL to 10 L in an acid mine drainage. beta-Diversity analysis revealed that all samples grouped very tightly according to spatial scales and variations between every two scales were significant. Notably, mean beta-diversity within each group was negatively correlated with spatial scales, indicating patchy microbial distribution. Partition of beta-diversity further revealed that it was the relative abundances of some microbial taxa that largely changed among spatial scales. Phylogenetic analysis showed that microbial lineages were not randomly distributed, but displayed a tendency of more phylogenetically clustering at smaller spatial scales. Thus, we documented fine-scale spatial patterns in microbial community composition within a continuous aquatic environment, which may have practical implications for adequate sampling of aquatic systems in future studies.","2017-10","2022-06-27 16:28:41","2022-07-19 19:19:47","","","","10","93","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; beta diversity; biome-water; var-geography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXXSPDF3","journalArticle","2018","De Vrieze, Jo; Ijaz, Umer Z.; Saunders, Aaron M.; Theuerl, Susanne","Terminal restriction fragment length polymorphism is an “old school” reliable technique for swift microbial community screening in anaerobic digestion","SCIENTIFIC REPORTS","","","10.1038/s41598-018-34921-7","","The microbial community in anaerobic digestion has been analysed through microbial fingerprinting techniques, such as terminal restriction fragment length polymorphism (TRFLP), for decades. In the last decade, high-throughput 16S rRNA gene amplicon sequencing has replaced these techniques, but the time-consuming and complex nature of high-throughput techniques is a potential bottleneck for full-scale anaerobic digestion application, when monitoring community dynamics. Here, the bacterial and archaeal TRFLP profiles were compared with 16S rRNA gene amplicon profiles (Illumina platform) of 25 full-scale anaerobic digestion plants. The a-diversity analysis revealed a higher richness based on Illumina data, compared with the TRFLP data. This coincided with a clear difference in community organisation, Pareto distribution, and co-occurrence network statistics, i.e., betweenness centrality and normalised degree. The beta-diversity analysis showed a similar clustering profile for the Illumina, bacterial TRFLP and archaeal TRFLP data, based on different distance measures and independent of phylogenetic identification, with pH and temperature as the two key operational parameters determining microbial community composition. The combined knowledge of temporal dynamics and projected clustering in the beta-diversity profile, based on the TRFLP data, distinctly showed that TRFLP is a reliable technique for swift microbial community dynamics screening in full-scale anaerobic digestion plants.","2018-11-14","2022-06-27 16:28:41","2022-06-30 17:04:05","","","","","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5TA7LSQ","journalArticle","2017","Stewart, Christopher J.; Embleton, Nicholas D.; Clements, Elizabeth; Luna, Pamela N.; Smith, Daniel P.; Fofanova, Tatiana Y.; Nelson, Andrew; Taylor, Gillian; Orr, Caroline H.; Petrosino, Joseph F.; Berrington, Janet E.; Cummings, Stephen P.","Cesarean or Vaginal Birth Does Not Impact the Longitudinal Development of the Gut Microbiome in a Cohort of Exclusively Preterm Infants","FRONTIERS IN MICROBIOLOGY","","","10.3389/fmicb.2017.01008","","The short and long-term impact of birth mode on the developing gut microbiome in neonates has potential implications for the health of infants. In term infants, the microbiome immediately following birth across multiple body sites corresponds to birth mode, with increased Bacteroides in vaginally delivered infants. We aimed to determine the impact of birth mode of the preterm gut microbiome over the first 100 days of life and following neonatal intensive care unit (NICU) discharge. In total, 867 stool samples from 46 preterm infants (21 cesarean and 25 vaginal), median gestational age 27 weeks, were sequenced (V4 region 16S rRNA gene, Illumina MiSeq). Of these, 776 samples passed quality filtering and were included in the analysis. The overall longitudinal alpha-diversity and within infant beta-diversity was comparable between cesarean and vaginally delivered infants. Vaginally delivered infants kept significantly more OTUs from 2 months of life and following NICU discharge, but OTUs lost, gained, and regained were not different based on birth mode. Furthermore, the temporal progression of dominant genera was comparable between birth modes and no significant difference was found for any genera following adjustment for covariates. Lastly, preterm gut community types (PGCTs) showed some moderate differences in very early life, but progressed toward a comparable pattern by week 5. No PGCT was significantly associated with cesarean or vaginal birth. Unlike term infants, birth mode was not significantly associated with changes in microbial diversity, composition, specific taxa, or overall microbial development in preterm infants. This may result from the dominating effects of NICU exposures including the universal use of antibiotics immediately following birth and/or the lack of Bacteroides colonizing preterm infants.","2017-06-06","2022-06-27 16:28:41","2022-07-19 14:43:19","","","","","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; biome-human gut; var-birth mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WDITMZ3","journalArticle","2017","Yu, Ting; Wang, Yu; Chen, Shicheng; Hu, Min; Wang, Zhiling; Wu, Guozhong; Ma, Xianyong; Chen, Zhuang; Zheng, Chuntian","Low-Molecular-Weight Chitosan Supplementation Increases the Population of Prevotella in the Cecal Contents of Weanling Pigs","FRONTIERS IN MICROBIOLOGY","","","10.3389/fmicb.2017.02182","","Low-molecular-weight chitosan (LC) promoted growth in weaned piglets as an alternative to feed-grade antibiotics. To investigate the influence of LC supplementation on piglets' gut microbiome and compare the differences in community composition between LC and antibiotics with ZnO addition, we assessed the cecal microbial community by 16S rRNA gene sequencing with three treatments consisting of basal diet (CTR group), basal diet with low-molecular-weight chitosan (LC group), and basal diet with antibiotic and ZnO (AZ group). LC decreased pH more than AZ did in the cecum (both compared to CTR). Beta diversity analysis showed that community structure was distinctly different among the CTR. LC, and AZ treatments, indicating that either LC or AZ treatment modulated the piglet microbiota. Bacteroidetes, Firmicutes, and Proteobacteria dominated the community [>98% of operational taxonomic units (OTUs)] in piglet cecal contents. Compared to CTR, both LC, and AZ increased the relative abundance of Bacteroidetes while they decreased the count of Firmicutes and AZ decreased the population of Proteobacteria. In CTR the top four abundant genera were Prevotella (similar to 10.4%), Succinivibrio (similar to 6.2%), Lactobacillus (similar to 5.6%), and Anaerovibrio (5.4%). Both LC and AZ increased the relative abundance of Prevotella but decreased the ratio of Lactobacillus when they compared with CTR. Moreover, LC increased the relative abundance of Succinivibrio and Anaerovibrio while AZ decreased them. The microbial function prediction showed LC enriched more pathways in the metabolism of cofactors and vitamins than CTR or AZ did. LC may potentially function as an alternative to feed-grade antibiotics in weaned piglets due to its beneficial regulation of the intestinal microbiome.","2017-11-07","2022-06-27 16:28:41","2022-06-30 20:20:16","","","","","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; biome-pig gut; var-treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLNCKPV5","journalArticle","2017","Chan, Chia S.; Chan, Kok-Gan; Ee, Robson; Hong, Kar-Wai; Urbieta, Mar-A S.; Donati, Edgardo R.; Shamsir, Mohd S.; Goh, Kian M.","Effects of Physiochemical Factors on Prokaryotic Biodiversity in Malaysian Circumneutral Hot Springs","FRONTIERS IN MICROBIOLOGY","","","10.3389/fmicb.2017.01252","","Malaysia has a great number of hot springs, especially along the flank of the Banjaran Titiwangsa mountain range. Biological studies of the Malaysian hot springs are rare because of the lack of comprehensive information on their microbial communities. In this study, we report a cultivation-independent census to describe microbial communities in six hot springs. The Ulu Slim (US), Sungai Klah (SK), Dusun Tua (DT), Sungai Serai (SS), Semenyih (SE), and Ayer Hangat (AH) hot springs exhibit circumneutral pH with temperatures ranging from 43 degrees C to 90 degrees C. Genomic DNA was extracted from environmental samples and the V3-V4 hypervariable regions of 16S rRNA genes were amplified, sequenced, and analyzed. High-throughput sequencing analysis showed that microbial richness was high in all samples as indicated by the detection of 6,334-26,244 operational taxonomy units. In total, 59, 61, 72, 73, 65, and 52 bacterial phyla were identified in the US, SK, DT, SS, SE, and AH hot springs, respectively. Generally, Firmicutes and Proteobacteria dominated the bacterial communities in all hot springs. Archaeal communities mainly consisted of Crenarchaeota, Euryarchaeota, and Parvarchaeota. In beta diversity analysis, the hot spring microbial memberships were clustered primarily on the basis of temperature and salinity. Canonical correlation analysis to assess the relationship between the microbial communities and physicochemical variables revealed that diversity patterns were best explained by a combination of physicochemical variables, rather than by individual abiotic variables such as temperature and salinity.","2017-07-06","2022-06-27 16:28:41","2022-07-19 15:30:55","","","","","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; biome-water; var-temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B88S6J7Z","journalArticle","2021","Rasmussen, Anna N.; Damashek, Julian; Eloe-Fadrosh, Emiley A.; Francis, Christopher A.","In-depth Spatiotemporal Characterization of Planktonic Archaeal and Bacterial Communities in North and South San Francisco Bay","MICROBIAL ECOLOGY","","","10.1007/s00248-020-01621-7","","Despite being the largest estuary on the west coast of North America, no in-depth survey of microbial communities in San Francisco Bay (SFB) waters currently exists. In this study, we analyze bacterioplankton and archaeoplankton communities at several taxonomic levels and spatial extents (i.e., North versus South Bay) to reveal patterns in alpha and beta diversity. We assess communities using high-throughput sequencing of the 16S rRNA gene in 177 water column samples collected along a 150-km transect over a 2-year monthly time-series. In North Bay, the microbial community is strongly structured by spatial salinity changes while in South Bay seasonal variations dominate community dynamics. Along the steep salinity gradient in North Bay, we find that operational taxonomic units (OTUs; 97% identity) have higher site specificity than at coarser taxonomic levels and turnover (”species” replacement) is high, revealing a distinct brackish community (in oligo-, meso-, and polyhaline samples) from fresh and marine end-members. At coarser taxonomic levels (e.g., phylum, class), taxa are broadly distributed across salinity zones (i.e., present/abundant in a large number of samples) and brackish communities appear to be a mix of fresh and marine communities. We also observe variations in brackish communities between samples with similar salinities, likely related to differences in water residence times between North and South Bay. Throughout SFB, suspended particulate matter is positively correlated with richness and influences changes in beta diversity. Within several abundant groups, including the SAR11 clade (comprising up to 30% of reads in a sample), OTUs appear to be specialized to a specific salinity range. Some other organisms also showed pronounced seasonal abundance, including Synechococcus, Ca. Actinomarina, and Nitrosopumilus-like OTUs. Overall, this study represents the first in-depth spatiotemporal survey of SFB microbial communities and provides insight into how planktonic microorganisms have specialized to different niches along the salinity gradient.","2021-04","2022-06-27 16:28:41","2022-06-30 19:03:22","","601-616","","3","81","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; biome-water; var-geography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLMTWXI3","journalArticle","2018","Phoma, Sandra; Vikram, Surendra; Jansson, Janet K.; Ansorge, Isabelle J.; Cowan, Don A.; Van de Peer, Yves; Makhalanyane, Thulani P.","Agulhas Current properties shape microbial community diversity and potential functionality","SCIENTIFIC REPORTS","","","10.1038/s41598-018-28939-0","","Understanding the impact of oceanographic features on marine microbial ecosystems remains a major ecological endeavour. Here we assess microbial diversity, community structure and functional capacity along the Agulhas Current system and the Subtropical Front in the South Indian Ocean (SIO). Samples collected from the epipelagic, oxygen minimum and bathypelagic zones were analysed by 16S rRNA gene amplicon and metagenomic sequencing. In contrast to previous studies, we found high taxonomic richness in surface and deep water samples, but generally low richness for OMZ communities. Beta-diversity analysis revealed significant dissimilarity between the three water depths. Most microbial communities were dominated by marine Gammaproteobacteria, with strikingly low levels of picocyanobacteria. Community composition was strongly influenced by specific environmental factors including depth, salinity, and the availability of both oxygen and light. Carbon, nitrogen and sulfur cycling capacity in the SIO was linked to several autotrophic and copiotrophic Alphaproteobacteria and Gammaproteobacteria. Taken together, our data suggest that the environmental conditions in the Agulhas Current system, particularly depth-related parameters, substantially influence microbial community structure. In addition, the capacity for biogeochemical cycling of nitrogen and sulfur is linked primarily to the dominant Gammaproteobacteria taxa, whereas ecologically rare taxa drive carbon cycling.","2018-07-12","2022-06-27 16:28:41","2022-06-30 16:56:35","","","","","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5XKEDCR","journalArticle","2021","De Vrieze, Jo; Heyer, Robert; Props, Ruben; Van Meulebroek, Lieven; Gille, Karen; Vanhaecke, Lynn; Benndorf, Dirk; Boon, Nico","Triangulation of microbial fingerprinting in anaerobic digestion reveals consistent fingerprinting profiles","WATER RESEARCH","","","10.1016/j.watres.2021.117422","","The anaerobic digestion microbiome has been puzzling us since the dawn of molecular methods for mixed microbial community analysis. Monitoring of the anaerobic digestion microbiome can either take place via a nontargeted holistic evaluation of the microbial community through fingerprinting or by targeted monitoring of selected taxa. Here, we compared four different microbial community fingerprinting methods, i.e., amplicon sequencing, metaproteomics, metabolomics and cytomics, in their ability to characterise the full-scale anaerobic digestion microbiome. Cytometric fingerprinting through cytomics reflects a, for anaerobic digestion, novel, single cell-based approach of direct microbial community fingerprinting by flow cytometry. Three different digester types, i.e., sludge digesters, digesters treating agro-industrial waste and dry anaerobic digesters, each reflected different operational parameters. The alpha-diversity analysis yielded inconsistent results, especially for richness, across the different methods. In contrast, beta-diversity analysis resulted in comparable profiles, even when translated into phyla or functions, with clear separation of the three digester types. In-depth analysis of each method's features i.e., operational taxonomic units, metaproteins, metabolites, and cytometric traits, yielded certain similar features, yet, also some clear differences between the different methods, which was related to the complexity of the anaerobic digestion process. In conclusion, cytometric fingerprinting through flow cytometry is a reliable, fast method for holistic monitoring of the anaerobic digestion microbiome, and the complementary identification of key features through other methods could give rise to a direct interpretation of anaerobic digestion process performance.","2021-09-01","2022-06-27 16:28:41","2022-07-18 22:07:42","","","","","202","","","","","","","","","","","","","","","","","Type: Article","","","","remove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIV2S4VJ","journalArticle","2020","Liu, Ke; Zhang, Yongling; Li, Qinglin; Li, Huan; Long, Danfeng; Yan, Shijuan; Huang, Wenjie; Long, Ruijun; Huang, Xiaodan","Ethnic Differences Shape the Alpha but Not Beta Diversity of Gut Microbiota from School Children in the Absence of Environmental Differences","MICROORGANISMS","","","10.3390/microorganisms8020254","","Although the human gut microbiome is shaped by factors such as diet, environment, and genetic background, most studies investigating the relationship between ethnicity and microbiota have compared groups living in separate geographical locations. To isolate the effects of ethnicity on microbial diversity by minimizing environmental differences, we selected 143 school children from Han, Tibetan, and Hui populations from the same town on the Qinghai-Tibetan Plateau for fecal microbiome 16S rDNA sequencing. We characterized the diversity, identified signature taxa, and performed correlation analysis between diet and community composition. Firmicutes (47.61%) and Bacteroidetes (38.05%) were dominant phyla among the three ethnic groups; seven genera showed significant differences in relative abundance. Tibetan populations had a higher relative abundance of Oscillibacter and Barnesiella, compared with Han and Hui populations. Alpha diversity analyses (observed species, ACE, and Shannon indices) showed that the Tibetan population had the highest diversity compared to the Hui and Han groups, whereas beta diversity analysis revealed no significant differences between groups. The consumption of grains, milk, eggs, and fruits were positively correlated with specific taxa. Under similar environments and diet, ethnic background significantly contributed to differences in alpha diversity but not beta diversity of gut microbiota.","2020-02","2022-06-27 16:28:41","2022-06-29 17:06:48","","","","2","8","","","","","","","","","","","","","","","","","Type: Article","","","","16S sequencing; biome-human gut; var-diet; var-ethnicity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8C86CEPD","journalArticle","2021","Gaio, Daniela; DeMaere, Matthew Z.; Anantanawat, Kay; Eamens, Graeme J.; Liu, Michael; Zingali, Tiziana; Falconer, Linda; Chapman, Toni A.; Djordjevic, Steven P.; Darling, Aaron E.","A large-scale metagenomic survey dataset of the post-weaning piglet gut lumen","GIGASCIENCE","","","10.1093/gigascience/giab039","","Background Early weaning and intensive farming practices predispose piglets to the development of infectious and often lethal diseases, against which antibiotics are used. Besides contributing to the build-up of antimicrobial resistance, antibiotics are known to modulate the gut microbial composition. As an alternative to antibiotic treatment, studies have previously investigated the potential of probiotics for the prevention of postweaning diarrhea. In order to describe the post-weaning gut microbiota, and to study the effects of two probiotics formulations and of intramuscular antibiotic treatment on the gut microbiota, we sampled and processed over 800 faecal time-series samples from 126 piglets and 42 sows. Results Here we report on the largest shotgun metagenomic dataset of the pig gut lumen microbiome to date, consisting of >8 Tbp of shotgun metagenomic sequencing data. The animal trial, the workflow from sample collection to sample processing, and the preparation of libraries for sequencing, are described in detail. We provide a preliminary analysis of the dataset, centered on a taxonomic profiling of the samples, and a 16S-based beta diversity analysis of the mothers and the piglets in the first 5 weeks after weaning. Conclusions This study was conducted to generate a publicly available databank of the faecal metagenome of weaner piglets aged between 3 and 9 weeks old, treated with different probiotic formulations and intramuscular antibiotic treatment. Besides investigating the effects of the probiotic and intramuscular antibiotic treatment, the dataset can be explored to assess a wide range of ecological questions with regards to antimicrobial resistance, host-associated microbial and phage communities, and their dynamics during the aging of the host.","2021-06","2022-06-27 16:28:41","2022-06-30 17:09:40","","","","6","10","","","","","","","","","","","","","","","","","Type: Article; Data Paper","","","","16S sequencing; biome-cattle gut; shotgun sequencing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
